name,address,latitude,longitude,Type,id,webUrl
Granby Cafe,"rue de l' Europe 12, Bulle 1630 Switzerland",46.62478,7.058658,1,10254331,https://www.tripadvisor.com/Restaurant_Review-g652156-d10254331-Reviews-Granby_Cafe-Bulle_La_Gruyere_Canton_of_Fribourg.html
Restaurant Paris-Bangkok,"route de Riaz 16 Hotel Le Rallye, Bulle 1630 Switzerland",46.62223,7.058591,1,4259454,https://www.tripadvisor.com/Restaurant_Review-g652156-d4259454-Reviews-Restaurant_Paris_Bangkok-Bulle_La_Gruyere_Canton_of_Fribourg.html
Marco Polo,"Grand-Rue 18, Bulle 1630 Switzerland",46.61846,7.057757,1,10139564,https://www.tripadvisor.com/Restaurant_Review-g652156-d10139564-Reviews-Marco_Polo-Bulle_La_Gruyere_Canton_of_Fribourg.html
Coop Restaurant Bulle Le Caro,"Route de Riaz 50, Bulle 1630 Switzerland",46.62508,7.05955,1,13985031,https://www.tripadvisor.com/Restaurant_Review-g652156-d13985031-Reviews-Coop_Restaurant_Bulle_Le_Caro-Bulle_La_Gruyere_Canton_of_Fribourg.html
Restaurant Nova,"rue du Centre 21 Romantik Hotel l'Etoile, Charmey 1637 Switzerland",46.61927,7.164097,1,3510795,https://www.tripadvisor.com/Restaurant_Review-g635662-d3510795-Reviews-Restaurant_Nova-Charmey_La_Gruyere_Canton_of_Fribourg.html
Les Quatre Saisons,"Gros-Plan 28 Hotel Cailler, Charmey 1637 Switzerland",46.62146,7.162761,1,4259043,https://www.tripadvisor.com/Restaurant_Review-g635662-d4259043-Reviews-Les_Quatre_Saisons-Charmey_La_Gruyere_Canton_of_Fribourg.html
"McCarthy's ""Lord of the Burgers""","route de Saanen 71, Chateau-d'Oex 1660 Switzerland",46.473793,7.155714,1,7233680,https://www.tripadvisor.com/Restaurant_Review-g580351-d7233680-Reviews-McCarthy_s_Lord_of_the_Burgers-Chateau_d_Oex_Canton_of_Vaud.html
Le Gruyerien,"Grand Rue 1, Bulle 1630 Switzerland",46.6177,7.057087,1,1100695,https://www.tripadvisor.com/Restaurant_Review-g652156-d1100695-Reviews-Le_Gruyerien-Bulle_La_Gruyere_Canton_of_Fribourg.html
Olympia,"rue de Vevey 30, Bulle 1630 Switzerland",46.616158,7.054417,1,8588606,https://www.tripadvisor.com/Restaurant_Review-g652156-d8588606-Reviews-Olympia-Bulle_La_Gruyere_Canton_of_Fribourg.html
Hallo Pizza,"route de la Pala 137 A, Bulle 1630 Switzerland",46.61867,7.048788,1,12956268,https://www.tripadvisor.com/Restaurant_Review-g652156-d12956268-Reviews-Hallo_Pizza-Bulle_La_Gruyere_Canton_of_Fribourg.html
